status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
< 580 €,6,critical account/other credits existing,domestic appliances,5977.002091183795,unbekannt,... >= 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,domestic appliances,30426.979849986965,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,12,critical account/other credits existing,retraining,10716.67782987274,< 580 €,4 <= ... < 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1
< 580 €,42,existing credits paid back duly till now,radio/television,40300.026075885944,< 580 €,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,45,none,for free,1,skilled employee/official,2,no,yes,1
< 580 €,24,delay in paying off in the past,car (new),24899.91461425584,< 580 €,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,0
kein Konto,36,existing credits paid back duly till now,retraining,46297.47984231759,unbekannt,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,35,none,for free,1,unskilled - resident,2,yes,yes,1
kein Konto,24,existing credits paid back duly till now,radio/television,14495.124831912795,2800 € - 5000 €,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,car (used),35524.55990551326,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,35,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,15640.418645792324,>= 5000 €,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,30,critical account/other credits existing,car (new),26761.017061810075,< 580 €,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0
